842	summanare
843	superbifico
844	supersedere
845	supplicantes
846	surgunides
847	susque
848	sycosis
849	symmetrus
850	synallagma
851	syncroma
852	synodium
853	syntropus
854	systematica inaequalitas
855	taberna meritoria
856	taedet
857	talus supinus
858	tarantula
859	tautologus
860	tegella
861	teloneum
862	tendo
863	teramnon
864	terras filii
865	tesserascae dacatitae
866	tetradactylus
867	teucrion
868	thanatusia
869	thenupha
870	theos
871	thesaurus
872	thoracomachus
873	thuricremus
874	thyrae
875	timalphes
876	titia lex
877	tolotae
878	tonus
879	torosus
880	trabalis
881	tradux
882	transalpinus
883	transtra
884	tremulus
885	tributum
886	tricotum
887	trigonus
888	triplare
889	trithales
890	tropaeophoria
891	truuo
892	tubus
893	tunica molesta
894	turunda
895	tympanotriba
896	tyrses
897	vacinia
898	valetro
899	vari
900	vastrapes
901	vegeo
902	velum
903	ventrale
904	verennes
905	verrito
906	verticordius
907	vespertum
908	vexillarius
909	vicinitas
910	villica
911	vinnicus
912	virginari
913	visor
914	vivicrematio
915	umbinus
916	unguentaria
917	voculatio
918	vomo
919	urbare
920	usito
921	utrubi
922	vvarren
923	xenechium
924	xylalogon
925	zaberna
926	zia
927	zulapium
928	zyzania
